customer_id,age,income,employment_status,state,customer_tenure_months,card_type,rewards_preference,credit_score,credit_limit,current_balance,utilization_rate,revolver_flag,revolving_balance,payment_ratio,late_payments_12m,delinquency_flag,default_probability,risk_band,monthly_spend,transactions_count,avg_transaction_amount,grocery_spend,dining_spend,travel_spend,gas_spend,online_spend,inactive_flag,interchange_revenue,interest_revenue,rewards_cost,expected_credit_loss,risk_adjusted_profit,expected_spend_lift,expected_incremental_profit,expected_roi,customer_segment,recommended_action,offer_type,decision_status,ab_test_group,spend_to_income_ratio,balance_to_income_ratio,risk_adjusted_margin,utilization_band,profitability_band,roi_band,campaign_eligible_flag,risk_guardrail_flag
100000,25,41708.14,Full-Time,NC,14,Platinum,Dining,614,10138.88,2470.85,0.2437,0,0.0,0.4167,0,0,0.0128,Low Risk,1177.45,21,56.07,167.84,255.55,168.33,450.48,135.25,0,21.19,0.0,11.77,1.9,7.52,0.1209,-3.54,-2.36,Underused Low-Risk Customer,Category Cashback Accelerator,3% Grocery/Dining Cashback,Do Not Launch,Not Eligible,0.0282,0.0592,0.0064,Low Utilization,Low Profit,Negative ROI,0,0
100001,58,52714.61,Part-Time,NC,90,Platinum,Low APR,668,15418.71,5023.42,0.3258,1,2423.08,0.5262,1,0,0.0189,Low Risk,2780.06,47,59.15,611.13,942.89,411.98,447.0,367.07,0,50.04,49.47,27.8,5.7,66.01,0.0666,23.27,6.2386,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Scale,Control,0.0527,0.0953,0.0237,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100002,53,74179.3,Full-Time,NJ,18,Platinum,Cashback,663,15266.86,3279.32,0.2148,0,0.0,0.6099,0,0,0.0062,Low Risk,3013.87,33,91.33,948.49,876.36,527.71,111.94,549.37,0,54.25,0.0,30.14,1.22,22.89,0.0826,4.28,0.6815,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Test,Control,0.0406,0.0442,0.0076,Low Utilization,Low Profit,Low ROI,1,0
100003,42,50823.07,Student,GA,11,Platinum,Low APR,601,12031.31,5252.87,0.4366,1,2652.57,0.4954,2,0,0.0649,Moderate Risk,161.63,3,53.88,35.02,41.97,21.67,16.28,46.69,1,2.91,54.16,1.62,20.45,35.0,0.0977,51.45,11.2092,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Scale,Control,0.0032,0.1034,0.2165,Moderate Utilization,Moderate Profit,Moderate ROI,1,0
100004,42,58869.95,Full-Time,FL,108,Quicksilver,Low APR,687,23512.67,10782.91,0.4586,1,6926.52,0.7389,2,0,0.0322,Moderate Risk,2748.83,31,88.67,843.32,168.01,759.36,276.89,701.25,0,49.48,141.42,46.73,20.83,123.34,0.0849,77.43,17.0927,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Scale,Treatment,0.0467,0.1832,0.0449,Moderate Utilization,High Profit,Moderate ROI,1,0
100005,63,79647.88,Full-Time,TX,65,Platinum,Cashback,728,22329.94,6634.23,0.2971,1,3744.93,0.6234,0,0,0.0062,Low Risk,2047.21,32,63.98,139.99,473.53,140.56,268.58,1024.54,0,36.85,76.46,20.47,2.47,90.37,0.1038,101.21,32.9674,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Treatment,0.0257,0.0833,0.0441,Low Utilization,Moderate Profit,High ROI,1,0
100006,25,57154.62,Full-Time,CA,73,Platinum,Cashback,654,17403.4,6881.3,0.3954,0,0.0,0.5411,0,0,0.013,Low Risk,3160.64,39,81.04,1332.92,163.66,391.64,342.53,929.89,0,56.89,0.0,31.61,5.37,19.91,0.1071,-9.82,-2.3493,Loyal High-Value Customer,Retention Loyalty Benefit,Statement Credit / Loyalty Perk,Do Not Launch,Not Eligible,0.0553,0.1204,0.0063,Moderate Utilization,Low Profit,Negative ROI,0,0
100007,55,72761.7,Part-Time,NY,82,Platinum,Cashback,685,21713.83,12161.92,0.5601,0,0.0,0.4595,1,0,0.0208,Low Risk,989.06,17,58.18,71.91,74.41,29.98,522.4,290.37,1,17.8,0.0,9.89,15.18,-7.27,0.14,-15.14,-4.1823,Dormant but Recoverable,Reactivation Bonus,$50 Spend Reactivation Bonus,Do Not Launch,Not Eligible,0.0136,0.1671,-0.0074,Moderate Utilization,Negative Profit,Negative ROI,0,0
100008,30,129177.92,Full-Time,NY,43,Platinum,Travel,694,24541.79,3470.21,0.1414,0,0.0,0.679,0,0,0.0026,Low Risk,6517.59,100,65.18,710.86,1283.97,2232.6,1117.11,1173.05,0,117.32,0.0,65.18,0.54,51.6,0.1466,65.78,14.489,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Control,0.0505,0.0269,0.0079,Low Utilization,Moderate Profit,Moderate ROI,1,0
100009,25,61563.18,Full-Time,NJ,30,Secured,Cashback,640,15603.23,8714.4,0.5585,1,6139.14,0.2976,1,0,0.0456,Moderate Risk,2964.55,37,80.12,654.95,798.54,497.41,173.42,840.24,0,53.36,125.34,17.79,23.84,137.07,0.1199,90.06,60.04,Core Customer,Standard Engagement Offer,Standard Cashback Reminder,Scale,Control,0.0482,0.1416,0.0462,Moderate Utilization,High Profit,High ROI,1,0
