dashboard_recommendation_rank,model_score_rank,campaign_id,campaign_name,campaign_family,campaign_type,risk_level,recommended_rollout_decision,campaign_score,eligible_customers,scale_customers,test_customers,blocked_customers,eligible_rate,scale_rate,test_rate,block_rate,avg_predicted_response_rate,expected_incremental_spend,expected_campaign_cost,expected_campaign_profit,expected_campaign_roi,campaign_horizon_months,cost_per_customer,expected_lift_pct,response_rate_assumption,business_goal,offer_description,target_segments,excluded_segments,primary_success_metric,guardrail_notes,risk_sensitivity,customer_count,target_segment_customers,do_not_launch_customers
1,1,CMP065,High-Utilization Balance Health,Balance Health,Protective Engagement,Protective,Scale,56.4773321237319,4629,3233,1396,196,0.4629,0.3233,0.1396,0.0196,0.1253345592190538,34562.607058177106,595.2581901652499,2808.7627772822657,4.718562169640243,6,2.28,0.0208,0.0963,Reduce credit stress while maintaining customer engagement.,Send balance health messaging and payment reminders.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
2,2,CMP067,Payment Due Reminder Test,Balance Health,Protective Engagement,Protective,Scale,55.62220345292698,4629,2664,1965,196,0.4629,0.2664,0.1965,0.0196,0.12116975558976022,11994.80843507949,608.2904091088126,2429.6862818733116,3.9942866852577366,6,2.41,0.0224,0.0931,Reduce credit stress while maintaining customer engagement.,Test payment reminder messaging for higher utilization customers.,High-Utilization Revolver; Core Customer,,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Protective,10000,4744,5175
3,9,CMP081,Autopay and Paperless Enrollment,Servicing and Enrollment,Servicing Engagement,Low,Scale,30.88058348367324,4621,1812,2809,2009,0.4621,0.1812,0.2809,0.2009,0.1544191015472841,18779.95041467235,584.4143772967502,1139.077243437043,1.949091753536121,6,1.82,0.0312,0.1177,"Improve repayment stability, digital servicing, and lower friction.",Offer a small reward for enrolling in autopay or paperless statements.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
4,10,CMP082,Paperless Statement Campaign,Servicing and Enrollment,Servicing Engagement,Low,Scale,29.724757876667333,4621,1721,2900,2009,0.4621,0.1721,0.29,0.2009,0.14431691733391042,18226.407663413134,564.1876498500002,1053.71048956199,1.8676596161616417,6,1.88,0.0324,0.11,"Improve repayment stability, digital servicing, and lower friction.",Encourage paperless statement enrollment.,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Low,10000,5632,3370
5,17,CMP025,Retail Partner Cashback,Merchant Offers,Merchant-Funded Offer,Low,Test,18.423440400199283,6992,935,5795,2038,0.6992,0.0935,0.5795,0.2038,0.14143641661899312,117815.28352906651,1082.871150375,94.25384738200694,0.08704068563408184,3,3.65,0.052,0.107,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at selected retail partners.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1232
6,18,CMP051,Planned Purchase Financing,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,18.1214043686927,2442,2181,192,6862,0.2442,0.2181,0.0192,0.6862,0.05477171683046684,340734.95482997375,1801.646612775,5230.156749546354,2.9029870300094895,6,13.47,0.1344,0.0414,Grow balance-related revenue while controlling repayment risk.,Promotional financing for planned larger purchases.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,765
7,19,CMP050,Low APR Purchase Promo,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,17.662129482715372,2442,2174,202,6862,0.2442,0.2174,0.0202,0.6862,0.052919533169533184,317454.92686022405,1695.49104,4855.878552224865,2.8639954076223635,6,13.12,0.1296,0.04,Grow balance-related revenue while controlling repayment risk.,Promotional APR on purchases for a defined period.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,762
8,20,CMP031,Electronics Partner Offer,Merchant Offers,Merchant-Funded Offer,Low,Test,17.566848954297427,6992,940,5644,2038,0.6992,0.094,0.5644,0.2038,0.14143641661899312,126877.99764668701,1260.877366875,6.795707632545989,0.005389665808173474,3,4.25,0.056,0.107,Drive spend at selected merchants through targeted card-linked offers.,Earn cashback at selected electronics retailers.,Core Customer; Loyal High-Value Customer; Underused Low-Risk Customer; Premium Growth Candidate,Risk Watch,Offer activation and merchant spend,"Low credit-risk impact, but still exclude very high risk customers.",Low,10000,8480,1378
9,39,CMP059,Premium Capacity Review,Credit Line Strategy,Credit Line Review,High,Constrain,2.2519702939224153,1056,1006,47,8191,0.1056,0.1006,0.0047,0.8191,0.055207840909090915,89929.22803375065,504.87349680000005,1090.7395083561687,2.1604214031227964,6,8.66,0.1232,0.0414,Increase card usage capacity for strong customers while managing risk exposure.,Review premium customers for additional card capacity.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,756
10,42,CMP058,Low Utilization Capacity Review,Credit Line Strategy,Credit Line Review,High,Constrain,1.8791149987419473,1056,1001,52,8191,0.1056,0.1001,0.0052,0.8191,0.053340909090909105,83784.99506250062,475.40832,1011.1876475368033,2.1269876966747305,6,8.44,0.1188,0.04,Increase card usage capacity for strong customers while managing risk exposure.,Review low-utilization strong customers for capacity growth.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,756
