campaign_id,campaign_name,campaign_family,campaign_type,business_goal,offer_description,spend_category_focus,target_segments,excluded_segments,risk_level,risk_sensitivity,cost_per_customer,expected_lift_pct,response_rate_assumption,primary_success_metric,guardrail_notes,recommended_rollout,max_default_probability,max_utilization,min_credit_score,allow_high_utilization,client_editable,active_flag
CMP001,Grocery Cashback Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus cashback on grocery purchases for 30 days.,Grocery,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,4.56,0.0624,0.0963,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP002,Gas Spend Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus cashback on gas and fuel purchases for 30 days.,Gas,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,4.69,0.0648,0.09,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP003,Pharmacy Spend Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus cashback on pharmacy purchases for 30 days.,Pharmacy,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,4.81,0.0672,0.0931,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP004,Online Shopping Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus cashback on online shopping purchases for 30 days.,Online,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,4.94,0.06,0.0963,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP005,Utility Bill Pay Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus rewards for paying utilities with the card.,Utilities,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,5.06,0.0624,0.09,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP006,Everyday Essentials Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus rewards on daily essentials purchases.,Essentials,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,5.19,0.0648,0.0931,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP007,Weekend Spend Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn bonus rewards on weekend purchases.,General Spend,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,5.31,0.0672,0.0963,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP008,Local Merchant Booster,Everyday Spend,Category Cashback,Increase everyday card spend in routine categories.,Earn cashback at selected local merchants.,Local Merchants,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Low,Low,5.44,0.06,0.09,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP009,Dining Rewards Accelerator,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn bonus rewards after meeting a dining spend threshold.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,7.3,0.0832,0.0749,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP010,Coffee Shop Rewards,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn cashback at coffee shops and cafes.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,7.5,0.0864,0.07,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP011,Food Delivery Booster,Dining and Entertainment,Lifestyle Rewards,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on food delivery purchases.,Dining,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,7.7,0.0896,0.0725,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
